uf,u_x,u_xx,u_xxx,u_xxxx,uf*u_x,uf*u_xx,uf*u_xxx,uf*u_xxxx,u_x*u_xx,u_x*u_xxx,u_x*u_xxxx,u_xx*u_xxx,u_xx*u_xxxx,u_xxx*u_xxxx
1.058742,0.060392343,-0.00037386912,-0.0004773765,-0.0011604538,0.063939914,-0.00039583095,-0.0005054186,-0.0012286212,-2.2578832e-05,-2.8829885e-05,-7.008252e-05,1.7847633e-07,4.3385782e-07,5.539734e-07
1.0646603,0.06035329,-0.00042640913,-0.0005935017,-0.0012051327,0.06425575,-0.00045398087,-0.00063187775,-0.0012830569,-2.5735193e-05,-3.5819783e-05,-7.2733725e-05,2.5307455e-07,5.1387957e-07,7.1524835e-07
1.070581,0.06030792,-0.0004905214,-0.00071392435,-0.001247551,0.06456451,-0.0005251428,-0.0007643138,-0.0013356042,-2.9582323e-05,-4.3055294e-05,-7.52372e-05,3.5019517e-07,6.119504e-07,8.90657e-07
1.0765066,0.06025643,-0.000566699,-0.0008383738,-0.0012875174,0.064866446,-0.0006100552,-0.0009025149,-0.0013860209,-3.414726e-05,-5.051741e-05,-7.75812e-05,4.751056e-07,7.2963485e-07,1.0794208e-06
1.0824194,0.060196646,-0.0006553201,-0.0009666469,-0.0013248436,0.06515802,-0.0007093312,-0.0010463173,-0.0014340364,-3.9448074e-05,-5.81889e-05,-7.975114e-05,6.334632e-07,8.681967e-07,1.280656e-06
1.0883217,0.060127735,-0.000756606,-0.0010984293,-0.0013593484,0.065438315,-0.0008234307,-0.0011954445,-0.0014794084,-4.5493005e-05,-6.6046065e-05,-8.173454e-05,8.310782e-07,1.0284912e-06,1.4931481e-06
1.0942123,0.060047086,-0.0008710084,-0.0012334466,-0.0013908512,0.065704264,-0.0009530681,-0.0013496525,-0.0015218866,-5.2301515e-05,-7.4064876e-05,-8.351656e-05,1.0743423e-06,1.2114431e-06,1.7155407e-06
1.1001141,0.05995616,-0.0009988999,-0.0013714128,-0.0014191609,0.06595862,-0.001098904,-0.0015087106,-0.0015612389,-5.9890204e-05,-8.2224644e-05,-8.5087435e-05,1.3699041e-06,1.4175997e-06,1.9462552e-06
1.1059866,0.059851233,-0.001140385,-0.0015119826,-0.0014441191,0.06619466,-0.0012612506,-0.0016722325,-0.0015971764,-6.825345e-05,-9.0494024e-05,-8.643231e-05,1.7242425e-06,1.6468518e-06,2.183483e-06
1.1118541,0.059731405,-0.0012958068,-0.0016548429,-0.0014655341,0.066412605,-0.0014407481,-0.0018399438,-0.00162946,-7.7400364e-05,-9.884609e-05,-8.7538414e-05,2.1443568e-06,1.8990492e-06,2.4252286e-06
1.1177144,0.059596032,-0.0014653883,-0.0017996173,-0.0014832462,0.06661134,-0.0016378857,-0.0020114582,-0.0016578457,-8.733133e-05,-0.00010725005,-8.839559e-05,2.6371383e-06,2.1735318e-06,2.6692755e-06
1.1235719,0.059443858,-0.0016492229,-0.001945946,-0.0014970762,0.06678945,-0.0018530205,-0.0021864101,-0.0016820728,-9.803617e-05,-0.000115674535,-8.899199e-05,3.2092987e-06,2.4690125e-06,2.9132295e-06
1.1293893,0.059271928,-0.0018474808,-0.0020934423,-0.0015068742,0.06694108,-0.002086525,-0.0023643111,-0.0017018477,-0.000109503744,-0.00012408236,-8.931534e-05,3.8675944e-06,2.7839212e-06,3.1545542e-06
1.1351976,0.05908029,-0.00206027,-0.002241685,-0.0015124631,0.06706781,-0.0023388136,-0.0025447556,-0.0017169445,-0.00012172135,-0.00013243941,-8.935676e-05,4.6184764e-06,3.1160823e-06,3.390466e-06
1.1409836,0.058866482,-0.0022877073,-0.0023902752,-0.0015136843,0.06716569,-0.0026102364,-0.0027272648,-0.0017270889,-0.00013466927,-0.0001407071,-8.910527e-05,5.46825e-06,3.4628665e-06,3.618122e-06
1.1467638,0.05863015,-0.0025296723,-0.0025387688,-0.0015103935,0.06723493,-0.0029009366,-0.0029113682,-0.0017320645,-0.00014831507,-0.0001488484,-8.8554596e-05,6.422253e-06,3.8208004e-06,3.8345397e-06
1.1525099,0.05836931,-0.00278619,-0.0026866854,-0.0015024218,0.06727121,-0.0032111118,-0.0030964317,-0.001731556,-0.00016262798,-0.00015681997,-8.769532e-05,7.485616e-06,4.1860326e-06,4.036535e-06
1.1582148,0.05808245,-0.0030571513,-0.0028335971,-0.0014896231,0.067271955,-0.003540838,-0.0032819142,-0.0017253035,-0.00017756684,-0.00016458226,-8.652096e-05,8.662735e-06,4.554003e-06,4.2209917e-06
1.1639161,0.057768848,-0.0033425763,-0.0029790204,-0.00147185,0.06723809,-0.0038904785,-0.0034673298,-0.0017131099,-0.00019309678,-0.00017209457,-8.502707e-05,9.957603e-06,4.919771e-06,4.3846712e-06
1.1695604,0.05742632,-0.003641939,-0.0031224203,-0.001448953,0.06716355,-0.0042594676,-0.0036518592,-0.001694638,-0.00020914315,-0.0001793091,-8.320803e-05,1.1371664e-05,5.2769983e-06,4.52424e-06
1.1751816,0.057053566,-0.003955457,-0.0032633345,-0.0014208046,0.067048304,-0.0046483804,-0.0038350108,-0.0016697035,-0.00022567292,-0.00018618487,-8.1061975e-05,1.2907979e-05,5.6199315e-06,4.636561e-06
1.180757,0.056648925,-0.0042825933,-0.0034012164,-0.0013872423,0.066888615,-0.005056702,-0.00401601,-0.0016379962,-0.0002426043,-0.00019267524,-7.8585785e-05,1.4566026e-05,5.940995e-06,4.718311e-06
1.1863036,0.0562121,-0.0046231644,-0.0035355254,-0.001348152,0.06668462,-0.0054844767,-0.0041942066,-0.0015993176,-0.0002598778,-0.00019873932,-7.578246e-05,1.6345315e-05,6.2327285e-06,4.7664257e-06
1.1918054,0.05574051,-0.004976705,-0.0036657313,-0.001303394,0.066431835,-0.005931264,-0.0043688384,-0.0015533919,-0.0002774041,-0.00020432973,-7.265184e-05,1.8243263e-05,6.4866076e-06,4.777892e-06
1.1972518,0.055234633,-0.0053427923,-0.0037912722,-0.0012528361,0.06612977,-0.0063966676,-0.0045391074,-0.0014999602,-0.00029510717,-0.00020940953,-6.9199945e-05,2.025598e-05,6.6936427e-06,4.7498424e-06
1.2026384,0.05469108,-0.005721032,-0.0039115637,-0.0011963805,0.06577359,-0.0068803327,-0.0047041965,-0.001438813,-0.00031288943,-0.00021392765,-6.543134e-05,2.237818e-05,6.844531e-06,4.6797186e-06
1.2079873,0.054110773,-0.0061106742,-0.004025982,-0.0011338613,0.06536513,-0.007381617,-0.0048633353,-0.00136969,-0.0003306533,-0.00021784901,-6.135411e-05,2.4601466e-05,6.9286566e-06,4.5649053e-06
1.2132654,0.05349044,-0.0065112603,-0.004133992,-0.0010652181,0.0648981,-0.007899887,-0.0050156293,-0.0012923923,-0.0003482902,-0.00022112906,-5.6978988e-05,2.6917498e-05,6.9359126e-06,4.4036033e-06
1.2184992,0.05283167,-0.0069221877,-0.004234933,-0.000990312,0.06437535,-0.00843468,-0.0051602623,-0.0012066943,-0.00036571073,-0.00022373856,-5.2319832e-05,2.9315e-05,6.8551253e-06,4.1939047e-06
1.2236423,0.052131522,-0.00734256,-0.004328215,-0.00090907,0.063790336,-0.008984667,-0.005296187,-0.0011123766,-0.00038277885,-0.00022563644,-4.7391204e-05,3.178018e-05,6.674901e-06,3.9346505e-06
1.2287157,0.051389627,-0.0077716615,-0.0044132075,-0.0008214187,0.06314324,-0.009549162,-0.0054225773,-0.00100929,-0.00039938278,-0.00022679308,-4.2212403e-05,3.4297955e-05,6.3837883e-06,3.6250913e-06
1.233726,0.050605226,-0.008208793,-0.0044892784,-0.0007272635,0.062432986,-0.010127401,-0.0055385395,-0.0008972439,-0.00041540782,-0.00022718095,-3.6803336e-05,3.6851558e-05,5.9699555e-06,3.2648884e-06
1.2386546,0.049777575,-0.0086528985,-0.0045558047,-0.00062658166,0.061657224,-0.010717953,-0.0056430683,-0.00077611825,-0.0004307203,-0.0002267769,-3.1189717e-05,3.9420916e-05,5.4217476e-06,2.8545837e-06
1.2434962,0.04890597,-0.009102892,-0.0046120933,-0.0005193055,0.060814384,-0.011319412,-0.0057351203,-0.00064575445,-0.00044518575,-0.00022555889,-2.539714e-05,4.198339e-05,4.7271824e-06,2.3950856e-06
1.2482643,0.047990173,-0.009558156,-0.004657557,-0.00040545425,0.05990442,-0.0119311055,-0.0058138617,-0.0005061141,-0.00045869756,-0.00022351695,-1.945782e-05,4.4517656e-05,3.875395e-06,1.8884261e-06
1.2529202,0.04702905,-0.010017086,-0.0046914928,-0.0002850103,0.058923643,-0.012550608,-0.0058780657,-0.00035709512,-0.000471094,-0.00022063644,-1.3403763e-05,4.6995086e-05,2.8549725e-06,1.3371238e-06
1.2574854,0.04602356,-0.0104788095,-0.0047132787,-0.0001580191,0.057873953,-0.01317695,-0.005926879,-0.00019870671,-0.0004822721,-0.00021692186,-7.2726016e-06,4.938955e-05,1.6558521e-06,7.4478805e-07
1.2619557,0.04497185,-0.010942177,-0.004722326,-2.457466e-05,0.056752484,-0.013808543,-0.0059593664,-3.1012132e-05,-0.00049208995,-0.00021237174,-1.1051679e-06,5.1672527e-05,2.6890027e-07,1.16049556e-07
1.2663202,0.043874845,-0.0114057,-0.004717914,0.00011524292,0.055559605,-0.014443268,-0.0059743896,0.00014593443,-0.0005004233,-0.00020699773,5.0562653e-06,5.381111e-05,-1.3144262e-06,-5.4370616e-07
1.2705696,0.04273259,-0.0118680615,-0.0046994844,0.0002612763,0.054294728,-0.0150791975,-0.005971022,0.0003319697,-0.000507153,-0.00020082113,1.1165012e-05,5.577377e-05,-3.100843e-06,-1.2278639e-06
1.2747154,0.041544877,-0.012327926,-0.0046663894,0.00041333347,0.052957896,-0.015714597,-0.0059483186,0.00052688253,-0.00051216217,-0.00019386457,1.7171888e-05,5.7526904e-05,-5.0955446e-06,-1.928775e-06
1.2787333,0.040312108,-0.012783828,-0.0046181465,0.00057114154,0.051548433,-0.016347107,-0.005905377,0.0007303377,-0.00051534304,-0.00018616722,2.302392e-05,5.903759e-05,-7.3013753e-06,-2.6376154e-06
1.2826207,0.039034974,-0.013234129,-0.004554096,0.000734435,0.050067063,-0.016974367,-0.005841178,0.00094200147,-0.00051659386,-0.00017776902,2.866865e-05,6.0269496e-05,-9.719607e-06,-3.3446875e-06
1.2863777,0.03771309,-0.013677535,-0.004473782,0.00090284395,0.04851328,-0.017594475,-0.0057549733,0.0011613982,-0.00051582215,-0.00016872016,3.4049037e-05,6.119031e-05,-1.234868e-05,-4.0391274e-06
1.2900138,0.036349367,-0.014111974,-0.00437666,0.001075916,0.046891186,-0.01820464,-0.0056459517,0.0013879464,-0.00051296136,-0.00015908883,3.9108865e-05,6.176331e-05,-1.5183299e-05,-4.7089184e-06
1.2935333,0.034943666,-0.014536214,-0.0042623696,0.0012531229,0.0452008,-0.018803077,-0.005513517,0.0016209562,-0.0005079486,-0.00014894283,4.378871e-05,6.1958715e-05,-1.8215664e-05,-5.341273e-06
1.2968864,0.033495925,-0.014948344,-0.004130478,0.0014339056,0.043440413,-0.019386305,-0.005356761,0.0018596126,-0.0005007086,-0.00013835418,4.8029993e-05,6.1743805e-05,-2.1434513e-05,-5.9227154e-06
1.300091,0.03200824,-0.015346697,-0.0039807414,0.0016175453,0.041613627,-0.019952102,-0.005175326,0.0021029562,-0.0004912208,-0.00012741653,5.177478e-05,6.109123e-05,-2.4823976e-05,-6.439029e-06
1.3031776,0.030482601,-0.01572949,-0.0038128386,0.0018032886,0.039724242,-0.02049832,-0.0049688057,0.0023500053,-0.0004794758,-0.00011622524,5.496893e-05,5.997401e-05,-2.8364811e-05,-6.875648e-06
1.3060851,0.028920446,-0.016094765,-0.003626647,0.001990228,0.037772562,-0.021021133,-0.0047367094,0.002599407,-0.00046546778,-0.000104884246,5.7558278e-05,5.8370028e-05,-3.203225e-05,-7.217854e-06
1.3088493,0.02732313,-0.0164409,-0.0034220465,0.002177421,0.035761863,-0.02151866,-0.0044789435,0.002849916,-0.00044921687,-9.3501025e-05,5.949396e-05,5.6261524e-05,-3.5798763e-05,-7.451236e-06
1.311454,0.025692955,-0.016766077,-0.003199149,0.0023637179,0.033695128,-0.02198794,-0.004195537,0.0030999074,-0.00043077004,-8.219559e-05,6.0730898e-05,5.3637177e-05,-3.9630275e-05,-7.5618855e-06
1.3138745,0.024031848,-0.017068349,-0.002957985,0.002547959,0.03157483,-0.022425668,-0.003886421,0.0033476984,-0.00041018397,-7.1085844e-05,6.123217e-05,5.048792e-05,-4.3489454e-05,-7.536825e-06
1.316164,0.02234254,-0.01734627,-0.0026989272,0.002728757,0.029406447,-0.022830537,-0.0035522308,0.0035914918,-0.00038755973,-6.030089e-05,6.0967363e-05,4.681632e-05,-4.7333757e-05,-7.3647166e-06
1.318274,0.02062726,-0.017597698,-0.0024223041,0.002904699,0.027192382,-0.023198588,-0.0031932606,0.003829189,-0.0003629923,-4.9965496e-05,5.991598e-05,4.2626976e-05,-5.1116014e-05,-7.0360643e-06
1.3202064,0.018887896,-0.017821295,-0.0021288071,0.0030741554,0.024935922,-0.023527788,-0.0028104647,0.00405852,-0.00033660678,-4.0208688e-05,5.806433e-05,3.79381e-05,-5.4785432e-05,-6.544284e-06
1.3219764,0.017128827,-0.018015254,-0.0018190356,0.003235463,0.022643905,-0.023815742,-0.0024047222,0.004277206,-0.00030858017,-3.1157946e-05,5.541969e-05,3.277039e-05,-5.828769e-05,-5.8854225e-06
1.3235769,0.015351531,-0.018178174,-0.0014939092,0.0033868144,0.020318933,-0.024060212,-0.0019773038,0.0044827093,-0.0002790628,-2.2933793e-05,5.1992785e-05,2.715654e-05,-6.1566105e-05,-5.059593e-06
1.3249946,0.0135605475,-0.01830822,-0.0011544608,0.0035262653,0.017967653,-0.024258293,-0.0015296544,0.0046722824,-0.0002482695,-1.5655121e-05,4.781809e-05,2.1136124e-05,-6.4559645e-05,-4.070935e-06
1.326232,0.011758768,-0.018404158,-0.0008019275,0.0036517996,0.015594854,-0.024408182,-0.0010635419,0.0048431335,-0.00021641022,-9.42968e-06,4.2940665e-05,1.4758801e-05,-6.72083e-05,-2.9284786e-06
1.3273029,0.0099479295,-0.018465133,-0.00043788672,0.0037612824,0.013203916,-0.024508826,-0.0005812083,0.004992361,-0.00018368984,-4.3560663e-06,3.7416972e-05,8.085636e-06,-6.945258e-05,-1.6470157e-06
1.3281913,0.008134327,-0.018489791,-6.399384e-05,0.003852471,0.010803942,-0.02455798,-8.4996056e-05,0.0051168185,-0.000150402,-5.205468e-07,3.133726e-05,1.1832327e-06,-7.1231385e-05,-2.465344e-07
1.3288891,0.0063187024,-0.018477447,0.00031784302,0.003923129,0.008396855,-0.02455448,0.00042237813,0.005213403,-0.00011675349,2.0083555e-06,2.4789084e-05,-5.8729274e-06,-7.2489405e-05,1.2469391e-06
1.329432,0.0045068096,-0.018427283,0.0007055369,0.00397094,0.005991497,-0.02449782,0.00093796337,0.005279095,-8.304825e-05,3.1797206e-06,1.7896271e-05,-1.30011285e-05,-7.3173636e-05,2.8016448e-06
1.3297892,0.0027019815,-0.018338904,0.0010967003,0.0039935852,0.0035930655,-0.024386875,0.0014583801,0.0053106262,-4.9551378e-05,2.963264e-06,1.07905935e-05,-2.0112282e-05,-7.323798e-05,4.3797663e-06
1.3299575,0.0009077838,-0.01821186,0.0014887545,0.003988699,0.0012073138,-0.024221,0.0019799802,0.0053048003,-1.653243e-05,1.3514673e-06,3.6208764e-06,-2.711299e-05,-7.264163e-05,5.9381937e-06
1.3299713,-0.0008731817,-0.018046672,0.001878938,0.003954114,-0.0011613066,-0.024001556,0.0024989338,0.005258858,1.5758023e-05,-1.6406543e-06,-3.45266e-06,-3.390858e-05,-7.13586e-05,7.4295353e-06
1.3297911,-0.0026347856,-0.017843148,0.0022641292,0.0038875386,-0.0035037145,-0.02372766,0.0030108187,0.005169614,4.701287e-05,-5.965495e-06,-1.024283e-05,-4.039919e-05,-6.9365924e-05,8.80189e-06
1.3294487,-0.0043752235,-0.017602343,0.0026411295,0.0037870025,-0.005816635,-0.023401411,0.0035112463,0.0050346255,7.7014185e-05,-1.1555532e-05,-1.6568983e-05,-4.649007e-05,-6.666012e-05,1.0001964e-05
1.3289447,-0.006089501,-0.017325016,0.0030065088,0.0036506397,-0.00809261,-0.023023987,0.0039954837,0.004851498,0.0001055007,-1.830814e-05,-2.2230573e-05,-5.2087813e-05,-6.324739e-05,1.097568e-05
1.328259,-0.007775603,-0.017012544,0.0033567024,0.0034767918,-0.010328014,-0.022597065,0.00445857,0.00461808,0.00013228279,-2.6100384e-05,-2.7034152e-05,-5.710605e-05,-5.914907e-05,1.1670555e-05
1.3274002,-0.009428999,-0.016666427,0.0036879187,0.0032641008,-0.012516056,-0.022123018,0.004895344,0.004332768,0.00015714773,-3.4773384e-05,-3.0777202e-05,-6.146443e-05,-5.4400898e-05,1.2037738e-05
1.3263988,-0.011047171,-0.016289191,0.0039962465,0.003011597,-0.014652955,-0.021605965,0.005300617,0.003994579,0.0001799495,-4.414722e-05,-3.326963e-05,-6.509562e-05,-4.905648e-05,1.2035084e-05
1.3252349,-0.012626381,-0.015882498,0.0042779786,0.002718752,-0.01673292,-0.02104804,0.0056693265,0.003602985,0.00020053846,-5.4015385e-05,-3.4327997e-05,-6.794499e-05,-4.318057e-05,1.1630763e-05
1.3239253,-0.01416506,-0.01545008,0.0045288373,0.0023854177,-0.01875348,-0.020454751,0.005995842,0.0031581149,0.0002188513,-6.415125e-05,-3.3789584e-05,-6.99709e-05,-3.6854894e-05,1.0803168e-05
1.3224635,-0.015658882,-0.014994539,0.00474496,0.0020121124,-0.0207083,-0.019829731,0.0062750364,0.0026609453,0.00023479771,-7.430077e-05,-3.150743e-05,-7.114849e-05,-3.0170699e-05,9.547393e-06
1.3208528,-0.017108323,-0.014519679,0.0049225898,0.0015999542,-0.022597576,-0.019178359,0.0065020164,0.0021133039,0.00024840736,-8.421725e-05,-2.7372533e-05,-7.1474424e-05,-2.3230823e-05,7.8759185e-06
1.3190908,-0.018509416,-0.014029333,0.005057944,0.0011506827,-0.024415601,-0.018505964,0.006671888,0.001517855,0.00025967477,-9.361959e-05,-2.1298465e-05,-7.0959584e-05,-1.614331e-05,5.8200885e-06
1.317224,-0.019861622,-0.013527892,0.0051474785,0.00066692795,-0.026162205,-0.017819263,0.0067803822,0.00087849353,0.00026868586,-0.000102237274,-1.3246271e-05,-6.963453e-05,-9.022129e-06,3.4329973e-06
1.3152027,-0.021164944,-0.013020191,0.005187911,0.00015201033,-0.027836192,-0.01712419,0.0068231546,0.0001999244,0.00027557163,-0.00010980185,-3.21729e-06,-6.75476e-05,-1.9792035e-06,7.8861603e-07
1.3130722,-0.022419134,-0.012511222,0.0051763845,-0.00038974482,-0.029437942,-0.016428137,0.006796967,-0.0005117631,0.00028049076,-0.000116050054,8.737741e-06,-6.476289e-05,4.876184e-06,-2.0174691e-06
1.3108096,-0.023622928,-0.0120059205,0.005110555,-0.0009532161,-0.03096516,-0.015737476,0.0066989646,-0.0012494848,0.000283615,-0.00012072627,2.2517755e-05,-6.1356914e-05,1.1444236e-05,-4.8714633e-06
1.3084266,-0.024776304,-0.011509403,0.0049887444,-0.0015321358,-0.032417975,-0.0150592085,0.006527406,-0.0020046872,0.00028516047,-0.00012360264,3.796066e-05,-5.7417466e-05,1.7633967e-05,-7.6434335e-06
1.3059464,-0.025882632,-0.011028071,0.004809501,-0.0021194012,-0.03380133,-0.014402069,0.0062809503,-0.0027678243,0.0002854355,-0.00012448254,5.485568e-05,-5.303952e-05,2.3372908e-05,-1.0193263e-05
1.30335,-0.026942478,-0.010566846,0.004572641,-0.0027068458,-0.03511548,-0.013772298,0.0059597516,-0.0035279673,0.00028469702,-0.00012319829,7.2929135e-05,-4.8318394e-05,2.860282e-05,-1.2377434e-05
1.3006601,-0.02795762,-0.010131865,0.0042783623,-0.003285371,-0.036363363,-0.013178113,0.005564695,-0.004273151,0.00028326284,-0.00011961283,9.185116e-05,-4.3347787e-05,3.3286935e-05,-1.4056007e-05
1.2978587,-0.028934289,-0.0097292075,0.003928068,-0.0038447503,-0.037552617,-0.012627137,0.0050980775,-0.0049899425,0.0002815077,-0.00011365586,0.000111245114,-3.821699e-05,3.7406375e-05,-1.51024415e-05
1.2949805,-0.029869901,-0.009362492,0.00352433,-0.004374283,-0.03868094,-0.012124244,0.004563939,-0.0056646112,0.0002796567,-0.000105271385,0.00013065939,-3.299651e-05,4.0954186e-05,-1.5416417e-05
1.2919917,-0.030773124,-0.009038494,0.0030706553,-0.004861836,-0.03975862,-0.011677659,0.003967261,-0.006281452,0.0002781427,-9.4493655e-05,0.00014961387,-2.7754098e-05,4.3943674e-05,-1.4929022e-05
1.2889328,-0.031647,-0.008761362,0.002571482,-0.005295455,-0.040790856,-0.011292807,0.0033144674,-0.0068254857,0.00027727082,-8.1379694e-05,0.00016758527,-2.2529684e-05,4.63954e-05,-1.36171675e-05
1.2857754,-0.03249469,-0.008534704,0.0020330627,-0.005661899,-0.041780874,-0.010973713,0.002614062,-0.007279931,0.00027733258,-6.6063745e-05,0.00018398167,-1.735159e-05,4.8322636e-05,-1.1510996e-05
1.2825487,-0.033323754,-0.0083629275,0.0014623848,-0.005948143,-0.042739335,-0.010725861,0.0018755797,-0.007628783,0.00027868414,-4.8732152e-05,0.00019821446,-1.2229818e-05,4.974389e-05,-8.698475e-06
1.279242,-0.03413704,-0.008248154,0.00086811633,-0.0061409655,-0.043669537,-0.010551386,0.0011105309,-0.007855781,0.00028156757,-2.9634923e-05,0.00020963438,-7.160357e-06,5.065163e-05,-5.3310723e-06
1.2758489,-0.034944538,-0.008192947,0.00026014927,-0.006227122,-0.04458395,-0.0104529625,0.00033191114,-0.007944867,0.00028629875,-9.090796e-06,0.00021760391,-2.1313892e-06,5.1018484e-05,-1.6199813e-06
1.2723823,-0.035750184,-0.00819776,-0.00035063032,-0.0061944323,-0.0454879,-0.010430684,-0.0004461358,-0.007881686,0.00029307144,1.2535099e-05,0.0002214521,2.8743832e-06,5.078047e-05,2.1719557e-06
1.268826,-0.036556195,-0.008261533,-0.00095194805,-0.006031553,-0.04638345,-0.010482448,-0.0012078565,-0.007652991,0.00030201024,3.47996e-05,0.00022049062,7.864551e-06,4.9829876e-05,5.741725e-06
1.2651892,-0.037372842,-0.008383298,-0.0015302318,-0.00572801,-0.047283716,-0.010606458,-0.0019360327,-0.0072470163,0.00031330768,5.718911e-05,0.00021407202,1.2828389e-05,4.8019618e-05,8.765183e-06
1.2615027,-0.038204957,-0.008560992,-0.002071718,-0.0052755303,-0.048195656,-0.010799714,-0.0026134779,-0.006655096,0.0003270723,7.91499e-05,0.0002015514,1.7735962e-05,4.516377e-05,1.0929411e-05
1.2577009,-0.039056554,-0.008788919,-0.0025610994,-0.0046679555,-0.049121466,-0.011053831,-0.003221097,-0.0058708917,0.0003432649,0.00010002772,0.00018231425,2.2509295e-05,4.1026284e-05,1.1955098e-05
1.2538171,-0.039931897,-0.009061543,-0.0029830884,-0.0039020372,-0.050067294,-0.011361518,-0.003740247,-0.004892441,0.0003618446,0.00011912038,0.00015581575,2.7031385e-05,3.535848e-05,1.1640122e-05
1.2498574,-0.040836543,-0.009371672,-0.0033220644,-0.0029773132,-0.051039856,-0.011713253,-0.004152107,-0.0037212172,0.00038270667,0.00013566163,0.00012158318,3.11333e-05,2.7902403e-05,9.890827e-06
1.2458072,-0.041772556,-0.009710497,-0.0035626662,-0.0018973748,-0.05204055,-0.012097407,-0.004438395,-0.002363763,0.00040563228,0.00014882168,7.925819e-05,3.459526e-05,1.8424453e-05,6.759713e-06
1.2416499,-0.042744327,-0.010067563,-0.0036895697,-0.0006693063,-0.05307349,-0.012500388,-0.004581154,-0.0008310441,0.0004303312,0.00015770817,2.8609049e-05,3.7144975e-05,6.7382834e-06,2.4694523e-06
1.2374027,-0.043750063,-0.010430878,-0.0036894933,0.00069410505,-0.054136444,-0.012907197,-0.004565389,0.00085888745,0.00045635155,0.00016141556,-3.0367139e-05,3.8484653e-05,-7.2401253e-06,-2.5608958e-06
1.2330565,-0.044791464,-0.010787057,-0.0035493777,0.002176566,-0.05523041,-0.013301051,-0.0043765833,0.002683829,0.00048316806,0.00015898183,-9.749158e-05,3.8287337e-05,-2.3478742e-05,-7.725455e-06
1.2286189,-0.045865815,-0.011122591,-0.0032591757,0.003755825,-0.056351606,-0.013665425,-0.0040042847,0.0046144775,0.0005101467,0.00014948475,-0.00017226399,3.6250476e-05,-4.1774507e-05,-1.2240894e-05
1.2240558,-0.046973553,-0.011421931,-0.0028098978,0.005405576,-0.057498246,-0.013981081,-0.0034394716,0.0066167265,0.00053652865,0.00013199088,-0.0002539191,3.209446e-05,-6.174212e-05,-1.5189115e-05
